Feature_Name,Feature_Name_CN,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Status_CN,Approval_Date,Origin,Origin_CN
Mezentsev Q,梅岑采夫K,Moon,30.68,69.17,-136.38,Planetographic  +East  -180 - 180,Approved,已批准,2006,Yurij Borisovich; Soviet rocket scientist (1929-1965).,Yurij Borisovich；苏联火箭科学家（1929-1965）。
Mezentsev S,梅捷采夫S,Moon,23.33,71.14,-137.77,Planetographic  +East  -180 - 180,Approved,已批准,2006,Yurij Borisovich; Soviet rocket scientist (1929-1965).,Yurij Borisovich；苏联火箭科学家（1929-1965）。
Michael,麦可,Moon,3.46,25.05,0.21,Planetographic  +East  -180 - 180,Approved,已批准,1976,English male name.,英文男性名字。
Michelson,米歇尔森,Moon,123.14,6.72,-121.55,Planetographic  +East  -180 - 180,Approved,已批准,1970,Albert Abraham; German-American physicist; Nobel laureate (1852-1931).,阿尔伯特·亚伯拉罕；德裔美国物理学家；诺贝尔奖获得者（1852-1931）。
Michelson G,迈克尔逊G,Moon,25.03,5.5,-119.41,Planetographic  +East  -180 - 180,Approved,已批准,2006,Albert Abraham; German-American physicist; Nobel laureate (1852-1931).,阿尔伯特·亚伯拉罕；德裔美国物理学家；诺贝尔奖获得者（1852-1931）。
Michelson H,迈克尔逊H,Moon,30.35,4.35,-117.48,Planetographic  +East  -180 - 180,Approved,已批准,2006,Albert Abraham; German-American physicist; Nobel laureate (1852-1931).,阿尔伯特·亚伯拉罕；德裔美国物理学家；诺贝尔奖获得者（1852-1931）。
Michelson V,迈克尔逊B,Moon,23.52,7.84,-125.1,Planetographic  +East  -180 - 180,Approved,已批准,2006,Albert Abraham; German-American physicist; Nobel laureate (1852-1931).,阿尔伯特·亚伯拉罕；德裔美国物理学家；诺贝尔奖获得者（1852-1931）。
Michelson W,迈克尔逊W,Moon,21.53,7.22,-122.06,Planetographic  +East  -180 - 180,Approved,已批准,2006,Albert Abraham; German-American physicist; Nobel laureate (1852-1931).,阿尔伯特·亚伯拉罕；德裔美国物理学家；诺贝尔奖获得者（1852-1931）。
Middle Crescent,中新月,Moon,0.36,-3,-23.44,Planetographic  +East  -180 - 180,Approved,已批准,1973,"Astronaut-named feature, Apollo 12 site.",宇航员命名的功能，阿波罗12号站点。
Milankovič,米兰科维奇,Moon,94.21,76.53,171.35,Planetographic  +East  -180 - 180,Approved,已批准,1970,Milutin; Yugoslavian astronomer (1879-1958).,米卢廷南斯拉夫天文学家（1879-1958）。
Milankovič E,МиланковичЕ。,Moon,49.3,77.57,-177.49,Planetographic  +East  -180 - 180,Approved,已批准,2006,Milutin; Yugoslavian astronomer (1879-1958).,米卢廷南斯拉夫天文学家（1879-1958）。
Milichius,米利修斯,Moon,12.19,10.01,-30.23,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559).",米利希，雅各布；德国医生，数学家，天文学家（1501-1559）。
Milichius A,米利修斯A,Moon,8.23,9.25,-32.07,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559).",米利希，雅各布；德国医生，数学家，天文学家（1501-1559）。
Milichius C,Milicius C.,Moon,2.93,11.2,-29.44,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559).",米利希，雅各布；德国医生，数学家，天文学家（1501-1559）。
Milichius D,Milicius D.,Moon,3.47,7.97,-28.27,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559).",米利希，雅各布；德国医生，数学家，天文学家（1501-1559）。
Milichius E,米利修斯E,Moon,2.54,10.62,-28.15,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559).",米利希，雅各布；德国医生，数学家，天文学家（1501-1559）。
Milichius K,米利修斯（Milicius K）,Moon,3.76,8.49,-30.4,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Milich, Jacob; German doctor, mathematician, astronomer (1501-1559).",米利希，雅各布；德国医生，数学家，天文学家（1501-1559）。
Miller,磨坊主,Moon,61.37,-39.37,0.78,Planetographic  +East  -180 - 180,Approved,已批准,1935,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Miller A,米勒A,Moon,36.65,-37.69,1.79,Planetographic  +East  -180 - 180,Approved,已批准,2006,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Miller B,米勒B,Moon,11.32,-37.67,0.92,Planetographic  +East  -180 - 180,Approved,已批准,2006,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Miller C,米勒C,Moon,35.06,-38.2,-0.35,Planetographic  +East  -180 - 180,Approved,已批准,2006,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Miller D,米勒D,Moon,4.79,-38.03,2.99,Planetographic  +East  -180 - 180,Approved,已批准,2006,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Miller E,米勒E,Moon,5.87,-38.93,2.75,Planetographic  +East  -180 - 180,Approved,已批准,2006,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Miller K,米勒K,Moon,3.91,-39.92,0.83,Planetographic  +East  -180 - 180,Approved,已批准,2006,William Allen; British chemist (1817-1870).,威廉·艾伦；英国化学家（1817-1870）。
Millikan,密立根,Moon,93.97,46.76,121.52,Planetographic  +East  -180 - 180,Approved,已批准,1970,Robert Andrews; American physicist; Nobel laureate (1868-1953).,罗伯特·安德鲁斯；美国物理学家；诺贝尔奖获得者（1868-1953）。
Millikan B,密立根B,Moon,23.32,49.76,123.38,Planetographic  +East  -180 - 180,Approved,已批准,2006,Robert Andrews; American physicist; Nobel laureate (1868-1953).,罗伯特·安德鲁斯；美国物理学家；诺贝尔奖获得者（1868-1953）。
Millikan J,密立根J,Moon,34.27,45.56,124.7,Planetographic  +East  -180 - 180,Approved,已批准,2006,Robert Andrews; American physicist; Nobel laureate (1868-1953).,罗伯特·安德鲁斯；美国物理学家；诺贝尔奖获得者（1868-1953）。
Millikan Q,密立根Q,Moon,32.4,43.74,118.67,Planetographic  +East  -180 - 180,Approved,已批准,2006,Robert Andrews; American physicist; Nobel laureate (1868-1953).,罗伯特·安德鲁斯；美国物理学家；诺贝尔奖获得者（1868-1953）。
Millikan R,密立根河,Moon,48.99,45.75,117.84,Planetographic  +East  -180 - 180,Approved,已批准,2006,Robert Andrews; American physicist; Nobel laureate (1868-1953).,罗伯特·安德鲁斯；美国物理学家；诺贝尔奖获得者（1868-1953）。
Mills,米尔斯,Moon,35.65,8.54,155.74,Planetographic  +East  -180 - 180,Approved,已批准,1970,Mark Muir; American physicist (1917-1958).,马克·缪尔美国物理学家（1917-1958）。
Mills B,米尔斯B,Moon,22.64,10.46,156.68,Planetographic  +East  -180 - 180,Approved,已批准,2006,Mark Muir; American physicist (1917-1958).,马克·缪尔美国物理学家（1917-1958）。
Mills C,米尔斯C,Moon,14.23,9.62,157.09,Planetographic  +East  -180 - 180,Approved,已批准,2006,Mark Muir; American physicist (1917-1958).,马克·缪尔美国物理学家（1917-1958）。
Mills K,米尔斯K,Moon,26.49,6.87,156.75,Planetographic  +East  -180 - 180,Approved,已批准,2006,Mark Muir; American physicist (1917-1958).,马克·缪尔美国物理学家（1917-1958）。
Mills R,米尔斯R,Moon,17.84,7.97,154.69,Planetographic  +East  -180 - 180,Approved,已批准,2006,Mark Muir; American physicist (1917-1958).,马克·缪尔美国物理学家（1917-1958）。
Mills W,米尔斯W,Moon,17.82,9.88,154.02,Planetographic  +East  -180 - 180,Approved,已批准,2006,Mark Muir; American physicist (1917-1958).,马克·缪尔美国物理学家（1917-1958）。
Milne,米尔恩,Moon,259.97,-31,112.78,Planetographic  +East  -180 - 180,Approved,已批准,1970,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Milne K,米尔恩·K,Moon,58.91,-32.71,113.56,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Milne L,米尔恩·L,Moon,29.83,-33.89,113.29,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Milne M,米尔恩·M,Moon,52.94,-35.9,112.52,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Milne N,米尔恩·N,Moon,36.77,-35.83,111.3,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Milne P,米尔恩·P,Moon,97.13,-37.47,108.08,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Milne Q,米尔恩·Q,Moon,69.19,-34.37,107.66,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Edward Arthur; British mathematician, astrophysicist (1896-1950).",爱德华·亚瑟；英国数学家，天体物理学家（1896-1950）。
Mineur,次要,Moon,72.28,24.67,-161.73,Planetographic  +East  -180 - 180,Approved,已批准,1970,"Henri; French mathematician, astronomer (1899-1954).",亨利;法国数学家，天文学家（1899-1954）。
Mineur D,小D,Moon,16.84,25.65,-159.53,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Henri; French mathematician, astronomer (1899-1954).",亨利;法国数学家，天文学家（1899-1954）。
Mineur V,小五,Moon,26.72,25.8,-163.39,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Henri; French mathematician, astronomer (1899-1954).",亨利;法国数学家，天文学家（1899-1954）。
Mineur X,小X,Moon,25.89,26.8,-162.86,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Henri; French mathematician, astronomer (1899-1954).",亨利;法国数学家，天文学家（1899-1954）。
Minkowski,明可夫斯基,Moon,107.51,-56.13,-145.8,Planetographic  +East  -180 - 180,Approved,已批准,1970,Hermann; German mathematician (1864-1909); Rudolph Leo Bernhard; American astronomer (1895-1976).,赫尔曼德国数学家（1864-1909）;鲁道夫·里奥·伯恩哈德；美国天文学家（1895-1976）。
Minkowski S,敏可夫斯基,Moon,13.59,-56.2,-146.08,Planetographic  +East  -180 - 180,Approved,已批准,2006,Hermann; German mathematician (1864-1909); Rudolph Leo Bernhard; American astronomer (1895-1976).,赫尔曼德国数学家（1864-1909）;鲁道夫·里奥·伯恩哈德；美国天文学家（1895-1976）。
Minnaert,明纳尔特,Moon,137.31,-67.54,178.57,Planetographic  +East  -180 - 180,Approved,已批准,1970,"Marcel Gilles Jozef; Dutch astronomer, astrophysicist (1893-1970).",Marcel Gilles Jozef；荷兰天文学家，天体物理学家（1893-1970）。
Minnaert C,爱因哈特,Moon,19.23,-64.37,-176.22,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Marcel Gilles Jozef; Dutch astronomer, astrophysicist (1893-1970).",Marcel Gilles Jozef；荷兰天文学家，天体物理学家（1893-1970）。
Minnaert N,Minnord的,Moon,33.11,-70.66,175.49,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Marcel Gilles Jozef; Dutch astronomer, astrophysicist (1893-1970).",Marcel Gilles Jozef；荷兰天文学家，天体物理学家（1893-1970）。
Minnaert W,明纳尔特W,Moon,24.55,-63.59,173.2,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Marcel Gilles Jozef; Dutch astronomer, astrophysicist (1893-1970).",Marcel Gilles Jozef；荷兰天文学家，天体物理学家（1893-1970）。
Mitchell,米切尔,Moon,32.15,49.77,20.17,Planetographic  +East  -180 - 180,Approved,已批准,1935,Maria; American astronomer (1818-1889).,玛丽亚美国天文学家（1818-1889）。
Mitchell B,米切尔B,Moon,5.4,48.53,19.44,Planetographic  +East  -180 - 180,Approved,已批准,2006,Maria; American astronomer (1818-1889).,玛丽亚美国天文学家（1818-1889）。
Mitchell E,米切尔E,Moon,7.72,47.7,21.73,Planetographic  +East  -180 - 180,Approved,已批准,2006,Maria; American astronomer (1818-1889).,玛丽亚美国天文学家（1818-1889）。
Mitra,伙伴,Moon,97.1,17.76,-154.65,Planetographic  +East  -180 - 180,Approved,已批准,1970,Sisir Kumar; Indian physicist (1890-1963).,西西尔·库马尔（Sisir Kumar）印度物理学家（1890-1963）。
Mitra A,Mitra A,Moon,45.62,20.6,-154.15,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sisir Kumar; Indian physicist (1890-1963).,西西尔·库马尔（Sisir Kumar）印度物理学家（1890-1963）。
Mitra J,米特拉J,Moon,48.44,15.99,-153.06,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sisir Kumar; Indian physicist (1890-1963).,西西尔·库马尔（Sisir Kumar）印度物理学家（1890-1963）。
Mitra Y,米特拉Y,Moon,24.08,21.37,-155.27,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sisir Kumar; Indian physicist (1890-1963).,西西尔·库马尔（Sisir Kumar）印度物理学家（1890-1963）。
Möbius,莫比乌斯,Moon,48.96,15.63,101.13,Planetographic  +East  -180 - 180,Approved,已批准,1970,"August Ferdinand; German mathematician, astronomer (1790-1868).",奥古斯特·费迪南德德国数学家，天文学家（1790-1868）。
Mohorovičić,莫霍罗维奇,Moon,49.97,-18.73,-164.83,Planetographic  +East  -180 - 180,Approved,已批准,1970,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Mohorovičić A,MohorovičićA,Moon,17.17,-15.89,-163.6,Planetographic  +East  -180 - 180,Approved,已批准,2006,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Mohorovičić D,莫霍罗维奇D,Moon,15.11,-17.56,-161.83,Planetographic  +East  -180 - 180,Approved,已批准,2006,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Mohorovičić F,MohorovičićF,Moon,12.13,-18.7,-163.29,Planetographic  +East  -180 - 180,Approved,已批准,2006,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Mohorovičić R,MohorovičićR,Moon,40.36,-19.68,-167.62,Planetographic  +East  -180 - 180,Approved,已批准,2006,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Mohorovičić W,MohorovičićW,Moon,18.73,-17.38,-166.44,Planetographic  +East  -180 - 180,Approved,已批准,2006,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Mohorovičić Z,MohorovičićZ,Moon,16.88,-18.31,-164.93,Planetographic  +East  -180 - 180,Approved,已批准,2006,Andrija; Croatian geophysicist (1857-1936). (Spelling changed from Mohoróvičic.),安德里亚克罗地亚地球物理学家（1857-1936）。 （拼写从Mohoróvičic更改。）
Moigno,茂乃,Moon,36.83,66.27,28.8,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Francois Napoleon Marie; French mathematician, physicist (1804-1884).",弗朗索瓦·拿破仑·玛丽；法国数学家，物理学家（1804-1884）。
Moigno A,Moigno A,Moon,15.77,64.81,29.72,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Francois Napoleon Marie; French mathematician, physicist (1804-1884).",弗朗索瓦·拿破仑·玛丽；法国数学家，物理学家（1804-1884）。
Moigno B,Moigno B,Moon,24.27,64.64,26.11,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Francois Napoleon Marie; French mathematician, physicist (1804-1884).",弗朗索瓦·拿破仑·玛丽；法国数学家，物理学家（1804-1884）。
Moigno C,莫尼奥C,Moon,9.22,65.98,29.06,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Francois Napoleon Marie; French mathematician, physicist (1804-1884).",弗朗索瓦·拿破仑·玛丽；法国数学家，物理学家（1804-1884）。
Moigno D,莫尼奥·D,Moon,23.88,65.19,27.59,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Francois Napoleon Marie; French mathematician, physicist (1804-1884).",弗朗索瓦·拿破仑·玛丽；法国数学家，物理学家（1804-1884）。
Moiseev,莫谢耶夫,Moon,61.56,9.44,103.26,Planetographic  +East  -180 - 180,Approved,已批准,1970,Nikolay Dmitrievich; Soviet astronomer (1902-1955).,尼古拉·德米特里耶维奇苏联天文学家（1902-1955）。
Moiseev S,莫伊谢夫S,Moon,28.09,8.64,100.68,Planetographic  +East  -180 - 180,Approved,已批准,2006,Nikolay Dmitrievich; Soviet astronomer (1902-1955).,尼古拉·德米特里耶维奇苏联天文学家（1902-1955）。
Moiseev Z,莫伊谢夫Z,Moon,74.1,11.19,103.38,Planetographic  +East  -180 - 180,Approved,已批准,2006,Nikolay Dmitrievich; Soviet astronomer (1902-1955).,尼古拉·德米特里耶维奇苏联天文学家（1902-1955）。
Moissan,莫桑,Moon,22.45,4.77,137.45,Planetographic  +East  -180 - 180,Approved,已批准,1976,Ferdinand Frederic Henri; French chemist; Nobel laureate (1852-1907).,费迪南德·弗雷德里克·亨利（Ferdinand Frederic Henri）法国化学家；诺贝尔奖获得者（1852-1907）。
Moltke,莫尔特克,Moon,6.15,-0.59,24.16,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Helmuth Karl, Graf von; German benefactor (1800-1891).",赫尔穆特·卡尔（Hellmuth Karl），伯爵；德国恩人（1800-1891）。
Moltke A,莫尔特克A,Moon,4.47,-1.05,23.17,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Helmuth Karl, Graf von; German benefactor (1800-1891).",赫尔穆特·卡尔（Hellmuth Karl），伯爵；德国恩人（1800-1891）。
Moltke B,莫尔特克B,Moon,4.25,-1.05,25.19,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Helmuth Karl, Graf von; German benefactor (1800-1891).",赫尔穆特·卡尔（Hellmuth Karl），伯爵；德国恩人（1800-1891）。
Monge,僧,Moon,36.6,-19.24,47.54,Planetographic  +East  -180 - 180,Approved,已批准,1935,Gaspard; French mathematician (1746-1818).,加斯帕德法国数学家（1746-1818）。
Monira,等待,Moon,1.07,-12.54,-1.73,Planetographic  +East  -180 - 180,Approved,已批准,1976,Arabic female name.,阿拉伯女性的名字。
Mons Agnes,蒙斯·艾格尼丝,Moon,0,18.66,5.33,Planetographic  +East  -180 - 180,Approved,已批准,1979,Greek female name.,希腊女性名字。
Mons Ampère,蒙斯安培,Moon,29.96,19.32,-3.71,Planetographic  +East  -180 - 180,Approved,已批准,1935,André-Marie; French physicist (1775-1836).,安德烈·玛丽法国物理学家（1775-1836）。
Mons André,蒙斯·安德烈（MonsAndré）,Moon,10.52,5.18,120.56,Planetographic  +East  -180 - 180,Approved,已批准,1976,French male name.,法国男名。
Mons Ardeshir,蒙斯·阿德希尔,Moon,7.1,5.03,121.04,Planetographic  +East  -180 - 180,Approved,已批准,1976,Persian male name.,波斯男名。
Mons Argaeus,蒙斯·阿尔盖厄斯,Moon,61.48,19.33,29.01,Planetographic  +East  -180 - 180,Approved,已批准,1935,Named from peak in Asia Minor (now Erciyas Dagi).,从小亚细亚（现为Erciyas Dagi）的山顶而得名。
Mons Bradley,蒙斯·布拉德利,Moon,76.49,21.73,0.38,Planetographic  +East  -180 - 180,Approved,已批准,1961,James; British astronomer (1693-1762).,詹姆士;英国天文学家（1693-1762）。
Mons Delisle,蒙斯·德利斯（Mons Delisle）,Moon,32.42,29.42,-35.79,Planetographic  +East  -180 - 180,Approved,已批准,1985,Named from nearby crater.,从附近的火山口命名。
Mons Dieter,蒙斯·迪特尔,Moon,20.41,5,120.3,Planetographic  +East  -180 - 180,Approved,已批准,1976,German male name.,德国男姓。
Mons Dilip,蒙斯·迪利普（Mons Dilip）,Moon,1.37,5.58,120.87,Planetographic  +East  -180 - 180,Approved,已批准,1976,Indian male name.,印度男性名字。
Mons Esam,蒙斯·埃萨姆（Mons Esam）,Moon,7.92,14.61,35.71,Planetographic  +East  -180 - 180,Approved,已批准,1979,Arabic male name.,阿拉伯男性名称。
Mons Ganau,蒙斯·加瑙,Moon,13.49,4.79,120.59,Planetographic  +East  -180 - 180,Approved,已批准,1976,African male name.,非洲男性名字。
Mons Gruithuisen Delta,蒙斯·格鲁特韦森三角洲,Moon,27.24,36.07,-39.59,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Mons Gruithuisen Gamma,蒙斯·格鲁特韦森·伽玛,Moon,19.65,36.56,-40.72,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Mons Hadley,蒙斯·哈德利,Moon,26.4,26.69,4.12,Planetographic  +East  -180 - 180,Approved,已批准,1935,"John, British instrument maker (1682-1744).",英国乐器制造商约翰（1682-1744）。
Mons Hadley Delta,蒙斯·哈德利三角洲,Moon,17.24,25.72,3.71,Planetographic  +East  -180 - 180,Approved,已批准,1935,Named from nearby mountain (Mons Hadley).,以附近的山脉命名（Mons Hadley）。
Mons Hansteen,蒙斯·汉斯汀,Moon,30.65,-12.19,-50.21,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Mons Herodotus,蒙斯·希罗多德斯,Moon,6.77,27.5,-52.94,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Mons Huygens,蒙斯·惠更斯,Moon,41.97,19.92,-2.86,Planetographic  +East  -180 - 180,Approved,已批准,1961,"Christiaan; Dutch astronomer, mathematician, physicist (1629-1695).",克里斯蒂安荷兰天文学家，数学家，物理学家（1629-1695）。
Mons La Hire,蒙斯租车,Moon,21.71,27.66,-25.51,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Philippe De; French mathematician, astronomer (1640-1718).",菲利普·德法国数学家，天文学家（1640-1718）。
Mons Maraldi,蒙斯·马拉迪（Mons Maraldi）,Moon,15.9,20.34,35.5,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Mons Moro,欢乐时光,Moon,13.68,-11.84,-19.84,Planetographic  +East  -180 - 180,Approved,已批准,1976,Antonio Lazzaro; Italian Earth scientist (1687-1764).,安东尼奥·拉扎罗（Antonio Lazzaro）；意大利地球科学家（1687-1764）。
Mons Penck,蒙斯·彭克（Mons Penck）,Moon,37.59,-10,21.74,Planetographic  +East  -180 - 180,Approved,已批准,1976,Albrecht; German geographer (1858-1945).,阿尔布雷希特德国地理学家（1858-1945）。
Mons Pico,蒙斯·皮科,Moon,24.42,45.82,-8.87,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Spanish for ""peak.""",西班牙语为“峰值”。
Mons Piton,蒙斯·皮顿,Moon,22.5,40.72,-0.92,Planetographic  +East  -180 - 180,Approved,已批准,1935,Named from Mt. Piton on Tenerife Islands.,取自山。特内里费岛上的皮顿。
Mons Rümker,蒙斯·鲁姆克,Moon,73.25,40.76,-58.38,Planetographic  +East  -180 - 180,Approved,已批准,1935,Karl Ludwig Christian; German astronomer (1788-1862).,卡尔·路德维希·克里斯蒂安（Karl Ludwig Christian）；德国天文学家（1788-1862）。
Mons Tai,泰山,Moon,24,-44.56,175.83,Planetographic  +East  -180 - 180,Approved,已批准,"Feb 4, 2019","Named from terrestrial Mount Tai, in Shandong, China.",以中国山东省的地面泰山命名。
Mons Usov,蒙斯·乌索夫,Moon,13.23,11.91,63.26,Planetographic  +East  -180 - 180,Approved,已批准,1979,Mikhail Antonovich; Soviet geologist (1883-1939).,Mikhail Antonovich；苏联地质学家（1883-1939）。
Mons Vinogradov,蒙斯·维诺格拉多夫（Mons Vinogradov）,Moon,28.73,22.35,-32.52,Planetographic  +East  -180 - 180,Approved,已批准,1979,Aleksandr Pavlovich; Soviet geochemist and cosmochemist (1895-1975).,亚历山大·帕夫洛维奇（Alexander Pavlovich）；理事会地球化学家和宇宙化学家（1895-1975年）。
Mons Vitruvius,M.山,Moon,44.28,19.33,30.74,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Mons Wolff,蒙斯·沃尔夫,Moon,32.87,16.88,-6.8,Planetographic  +East  -180 - 180,Approved,已批准,1961,"Christian, Baron von; German philosopher (1679-1754).",基督徒，男爵；德国哲学家（1679-1754）。
Montanari,蒙塔纳里,Moon,77.05,-45.83,-20.76,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Geminiano; Italian astronomer, mathematician (1633-1687).",Geminiano;意大利天文学家，数学家（1633-1687）。
Montanari D,蒙塔纳里D,Moon,26.51,-45.95,-22.21,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Geminiano; Italian astronomer, mathematician (1633-1687).",Geminiano;意大利天文学家，数学家（1633-1687）。
Montanari W,蒙塔纳里W.,Moon,6.35,-44.82,-18.1,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Geminiano; Italian astronomer, mathematician (1633-1687).",Geminiano;意大利天文学家，数学家（1633-1687）。
Mont Blanc,勃朗峰,Moon,21.57,45.41,0.44,Planetographic  +East  -180 - 180,Approved,已批准,1935,Named for terrestrial mountain in Alps.,因在阿尔卑斯山的陆地山而得名。
Montes Agricola,蒙特斯·阿格里科拉,Moon,159.76,29.06,-54.07,Planetographic  +East  -180 - 180,Approved,已批准,1976,Georgius; German Earth scientist (1494-1555).,乔治德国地球科学家（1494-1555）。
Montes Alpes,阿尔卑斯山,Moon,334.48,48.36,-0.58,Planetographic  +East  -180 - 180,Approved,已批准,1935,Named from terrestrial Alps.,以陆地阿尔卑斯山命名。
Montes Apenninus,蒙特斯亚平宁努斯,Moon,599.67,19.87,0.03,Planetographic  +East  -180 - 180,Approved,已批准,1961,Named from terrestrial Apennines.,以陆地亚平宁山脉命名。
Montes Archimedes,蒙特斯·阿基米德,Moon,146.54,25.39,-5.25,Planetographic  +East  -180 - 180,Approved,已批准,1976,Named from nearby crater.,从附近的火山口命名。
Montes Carpatus,蒙特斯·卡帕特斯,Moon,333.59,14.57,-23.62,Planetographic  +East  -180 - 180,Approved,已批准,1961,Named from terrestrial Carpathians.,取自陆地喀尔巴阡山脉。
Montes Caucasus,高加索山脉,Moon,443.51,37.52,9.93,Planetographic  +East  -180 - 180,Approved,已批准,1961,Named from terrestrial Caucasus Mountains.,以陆地高加索山脉命名。
Montes Cordillera,蒙特斯·科迪勒拉,Moon,963.5,-19.44,-94.93,Planetographic  +East  -180 - 180,Approved,已批准,1961,"Spanish for ""mountain chain.""",西班牙语为“山链”。
Montes Haemus,巴尔干山脉,Moon,384.66,17.11,12.03,Planetographic  +East  -180 - 180,Approved,已批准,1961,Named for range in the Balkans.,以巴尔干地区的射程命名。
Montes Harbinger,蒙特斯·哈宾格,Moon,92.7,26.89,-41.29,Planetographic  +East  -180 - 180,Approved,已批准,1961,Harbingers of dawn on crater Aristarchus.,黎明的预兆者在火山口Aristarchus上。
Montes Jura,蒙特斯·朱拉,Moon,420.8,47.49,-36.11,Planetographic  +East  -180 - 180,Approved,已批准,1961,Named from terrestrial Jura Mountains.,以侏罗山地名命名。
